doc,target
"Dear Sir/Madam, This is Vasiliabrosimov from BY. Im looking for products with the following specifications :",1
Hi I would like to purchase wheat/ bean sprouting machine. Dimensions 1.5 - 1.6 metres wide X 0.8 deep X 1.3 high to suit tray size 580 mm X 385 mm X 70 mm. Kind regards Jonathan Glenister Qyntek (Australia),1
"Dolphin Bath lift, as new condition.

18 months old, not used much.

Battery operated, no electrics used.

Easy to fit, mounts onto a wall plate.

Reason for sale, bathroom refurbishment, shower room fitted.",0
Animagic dog and pups attached on a lead. Pups can be removed so it is just the dog. All have wheels on their feet for easily moving along the floor. Takes 3 x aaa batteries which allows the dog to bark and also the lead flashes different colours. Good condition. From a smoke and pet free home.,0
Kodak Brownie 127 with Dakon lens in very good condition in a material case! Worth viewing!,0
"Fabulous Sony Walkman CD player D-E330 in silver. This is in immaculate condition and anybody who still has CDs and wants to play them with headphones would really love this. It’s an iconic piece of equipment, and would be great to any collector as they don’t make them anymore.",0
Boys school pants (AGE 5-6)- 2 long and 2 shorts. Calls only 0779 223 26...(click to reveal full phone number),0
"Dear Sir/Madam, Membrane : USA ro membrane Capacity : 6000L/H Material : Fiber glass or Stainless steel 304/316 Voltage : 110V / 220V / 380V Desalination rate : ?97% Recovery rate : 50-75% Pump : CNP(Optional) Certification : ISO, CE Optional choice : softener, ozone, uv, chemical dosing Warranty : 1 Year",1
"Office desk in very good condition, size Lx 89cm H x 137cm W x 50cm and on casters,",0
"Toshiba Satellite L300 Laptop ,
AMD Athlon 64,
1.90GHz,
2GB RAM,
160Gb HDD
Laptop,


Used Laptop in a good condition , some marks and scratches.
Fan exhaust grille & RHS Lid Catch broken.
ALT Key missing parts , cap is present.
Battery holds charge for a short while but is OK when using charger.


Toshiba L300 Laptop
Model Number L300
AMD Athlon 64 X2 processor.
1.90 GHz speed.
2Gb Ram , 2 x 1Gb.
160 Gb HD.
15'' Screen , Resolution - 1024 x 768.

DVD/CD-RW Optical Drive.

UBUNTU 16.04 Linux OS.


3 x USB1 Ports.
Ethernet Port.
Modem Port.
VGA Port.
Mic Port.
Headphone Port.
PCMCIA port.


Used Toshiba Satellite L300 Laptop & 19v 4.74A Charger.

Weight 4Kg

Will post anywhere.


UK preferred payment by Bank Transfer. See Invoice.",0
"Grape carvings on table high back chairs, carved and ornate. Valued by a local firm.",0
"AVAILABLE if advert can be seen
Please get in touch if you would like to purchase
Good condition unless otherwise stated
Lewes cash on collection only No paypal
No posting No exception
Not accepting offers",0
3D Planet - The World seen through Stereograms. By Hiroshi Kunoh & Eiji Takaoki. 41 pages of stunning imagery.,0
"Material : 100% Carbon Fiber Style : Twill Feature : Waterproof,Abrasion-Resistant,Anti-Static,Heat-Insulation Use : furniture,Industry Product name : carbon fiber car parts Advantage : Light weight, Strong toughness, Corrosion resistance Process : Pultrusion, CNC machining Application : Automobile Components, Aerospace Industry, Sporting, Drone Finish : Glossy/ Matte/ 50% Glossy Weave : Twill/Plain/UD Shape : Custom OEM/ODM : Available",1
"Pope benders
15mm
20mm
With pipe cutters",0
"these new hip hop Jean's are size 42 inch waist and made by crown Holden

Collection little common",0
"Material : Steel / Plastic Finish : Zinc Plated Feature : For use on cabinet catches Hardware (Y/N?) : Yes OEM, ODM : Welcome",1
"with NFC & Bluetooth, Black, Brand New, only 135g, charge up portable speaker, connect and play your favourite tracks, compatible with iPhone or android, answer calls too with built in mic and speaker, c/w instructions, carry case & charging cable call 07870 3338...(click to reveal full phone number) only £6",0
"Dear Mrs., I am representing (Delta Co. for sweets and food industries) we are interested in the machine you offer ( chocolate belt coater dragee) . we reviewed the video and woulf like to have further information about the price because you mentioned (25000 to 45000) . we would like to know what are the difference between the two prices and if there are special features that would be added. we are dicussiing aordering 6 machines and our CEO would like to visit your factory. please contact me ASAP in order to clearify and discuss.you may contact me on 0100 2616600",1
"Dear, I am interested in placing your Izzo 3 kg Organic Italian Coffee Beans in tin for Espresso with Whole Beans on the market.Could you please send me the quotation from this with the details as below : coffee bean,What is the product-per-unit cost including shipping? Thank you very much for taking the time to answer my questions. Regards and thank you",1
"Dawes Twocan tandem in lovely condition, suitable for one adult and a child or two adults. Fitted with two new Schwalbe tyres.",0
"Hi,Im interested in your product PROAKS Hank Spraying (Space Dyeing) Machine, I would like some more details : What is the best price you can offer?I look forward to your reply.Regards,Anthony Green",1
This adapter allows the user to burn wood pellets in the Bullet Proof 50 BMG Rocket Stove.,1
Always kept under cover.,0
30 minutes deep tissue massage full price list available in website www.sunflowerbeautymassage.shop,0
"Hi, I'm interested in your product, I would like some more details. I look forward for your reply. Regards,",1
"Dear Sir/Madam, This is Gianfranco De Blasi from Panama City, Panama. Im looking for products with the following specifications : Customised paper napkins Color : Black Size : 38 cm x 38 cm Material : paper Paper : double Note : It opens at 38 cm x 38 cm but, the logo should go when the napkin is folded, as shown in the reference image.",1
"This is a rare, signed ball from around 1982 - 1984. The ball is in good condiition with a few marks and still fully inflates. The signatures vary in terms of how clear they are, with some quite faded, but others okay. I am no United fan (my dad won the ball in a raffle at work I think) so has been stored away in a bag all these years! Would be a nice item for a United fan from the era, Obviously you could inspect the ball (owing to faded nature of some of signatures )before deciding if you want to buy! Definite signatures include Alan Davies, Frank Stapleton, Arthur Albiston, Norman Whiteside and a faded Bryan Robson.",0
"I'm Marius Håkon from MERITECH DISTRIBUTION COMPANY LTD. we are pleased to source a new client from Asia for a supply. we also would like to inquire about your products with all relevant information, option and suitable alternatives. We also appreciate if you could send us your catalog and the price of one unit as well as discounts on bulk orders to our email. we look forward to your response.  Thanks Best Regards, Marius Håkon, Chairman Meritech Distribution. Co",1
"Dear Sir/Madam, Technique : Painted Regional Feature : China I need small model horses for use as childrens toys. Dimensions must be under 11"" x 3.5"" x 9"" I have attached an image of an example toy. They dont need to be exactly like this, just similar.",1
"genuine links of London ladies ring, expands hence one size, 079475598...(click to reveal full phone number). Pick up only",0
"This is an antique style dark solid wooden dining table. The picture shows the table at full extension which is 7ft x 3.5ft. Perfect for family occasions. If you don't need this so big all the time the table is discreetly in three sections so removing the middle section and you have a 4 seater 5ft x 3.5ft.
Complete with chairs x 4, 2 with arm rests.
Brought previously from antique shop for over £1500, will accept £150. Message me if you are interested, no time wasters and must collect.",0
"Type : Grain Processing Equipment After-sales Service Provided : Overseas third-party support available Product name : butter making machine Raw material : sesame.cocoa,peanut Size : 270*270*660mm Warranty : 12 month Motor material : pure copper wire motor Grinding wheel radius : 100mm Voltage : 220V Weight : 26kg Power : 800W Material : full stainless stain",1
"This is one of a kind in fact I am sure you wont find this type its unique!!! Check out the carvings they will get your interest.

BS16 1TF just off Blackberry Hill .",0
"Hello, do you have bearings connecting rod 0.5mm and 0.75mm bearing? What is the price with Shipping to USA? Thank you.",1
VINTAGE 6 Royal Doulton wine glasses design called Diana. wedding present in 1976,0
"solid chrome LED desk lamp in great condition adjustable poise high quality lamp

collection only",0
Hi I am looking for laser rangefinder with best price kindly share your price Thank you,1
"Material : Plastic Industrial Use : Personal Care Sealing Type : Screw Cap Surface Handling : Screen Printing Product name : pump bottle Color : clear amber orcustomize for pump bottle Sample time : 3-5days for pump bottle OEM : accepted for pump bottle material : plastic for pump bottle pump bottle : pump bottle Packaging : export carton box surface treatment : silk logo printing, hot-stamping, frosting Capacity : clarify on the picture gold pump bottle : pump bottle",1
"BATTERIES
Pack of 4 NEW
Plus 8 Duracell part used
\u00A37.00 must collect
Steyning BN44 3LP",0
"This item is new boxed sealed and unused, retailing at £225.42 Amazon


Model:64120-6


Surplus to requirements.


No offers!


cash on collection!",0
"Vgc only used 10 times comes with charger and rain cover cost 2,000 when new only 4 months old",0
"All working, comes with everything in the pictures",0
"Dear Sir/Madam, We are very interested in your Brenda Christian Universal Brow Definer Pencil (Pencil). Here is the informations about the product that we need : Material, Model Number, Lead Color, What options/features do you have for the product? We are waiting for your positive response. Yours faithfully",1
"Vintage (approx 1970s) stylish boho tiki bamboo & wicker magazine holder or record rack.
2 Separate compartments, large enough to hold the Sunday Papers & just about any other magazines plus your finest vinyl.
Measures approx:
48cm high to top of handle
30cm high to top of storage area
43 cm wide across
26cm deep
Excellent condition for age.
Non smoking household near Uckfield.
Cash on collection only.",0
A brand new elsan portaloo with handle large inner bucket with brand new lid just purchased from elsan as original went missing. Ideal for camping or for mobility issues in the home. I am open to offers as need gone asap,0
I am interested in hardness tester. It is an electric equipment and we need the time range of this device is 80 min. Kindly contact on email,1
"Indesit washing machine, selling as upgraded to a bigger drum. collection asap
open to offers",0
"Nominal Capacity : 20AH Usage : Motorcycle/Scooter Sealed Type : Sealed Maintenance Type : Free Weight : 6.95 KG Battery name : storage e-bike (bicycle) Battery 6 dzm 20 electric scooter battery Battery Rechargeable : Yes OEM : Available Battery Sample : Available Battery Warranty : 1 Year Battery Type : AGM/e bike battery/lead acid battery Battery Market : Global Certificate : CE, ISO9001 Usage : UPS, e-bike MOQ : Accept small quantity",1
"Can you tell me the price for adjustable leg with screw M10x45. We need it to be with Ant slipping surface. Do you have something like this? If you have a catalogue please send it to me I'm looking forward to your early reply. Best wishes,",1
"Hi,Im interested in your product 2019 Women Models Sexy Crochet Sleeveless Top Casual Apparel, I would like some more details.I look forward for your reply.Regards,",1
"Type : Auto CNC busbar process punching machine for electric cabinet Function of the machine : bending.punching and shearing Material/Metal Processed : copper/alumunium Application : Power distribution system Power : 3*4kw, 3*5.5kw Weight : 1480kg Voltage : User Defined Color : standard CNC or not : Non-CNC After-sales Service Provided : Engineers available to service machinery overseas",1
Natural Scallop Shells x5 small n x1 large which can be used to serve seafood/fish dishes with grilled cheese and much more. Reusable. Plus Postage or PickUp,0
"108 Mbps with Super G Technology (when used with NETGEAR WG511T PC Card) Smart Wizard gets you up and running in fewer than 5 clicks Smart Wizard assisted firmware upgrade automatically checks for new features and upgrades your network in just 1 click! Over 10 security & privacy features including Double Firewall (SPI & NAT) 11g standard compliance\ interoperable with existing 802.11b and 802.11g networks Exceptional range gets you connected at the far ends of your home or office


May require firmware upgrade from the NETGEAR Support web site. Use the easy “Assisted Upgrade” feature.",0
"Designer Original Black Unisex ‘Guess’ Case, By Marciano. Logo thru’out. Beautifully Hinged Back. Hard Case. Touchable Soft No Scratch No Smear Velour Interior for your Sunnies or Specs. Collectors Item. Used Once. Bargain. Plus Postage or PickUp",0
"Cubase, Cubase LE4 Tutorial - tells you all you need to know from installing and the tricky regerstration to full use in the studio - invaluable! Can supply BOTH Cubase LE4 (unregistered ready for your use) in double deal with he Tutorial disc for just £16.99",0
"Original, hand painted pottery wizard. Overall height approx 12”. Excellent condition.

Buyer collects.",0
"Bush 26"" Flat screen TV - model no IDLCD26TV16HD


No remote",0
"Contemporary styled furniture, quality solid oak glazed display cabinet bought from Holmes Hill Furniture, 3 glass shelves with lights either side and 2 drawers. Exceptional build quality. In excellent condition from a non smoker's flat. Has been in secure dry self storage unit for past 2 years. Approx measurements: Width 90 cm, height 182 cm and depth 42cm. Collection from storage unit only - will probably need 2 people due to weight. Now reduced as clearing storage unit prior to move abroad.",0
"Use : Shoes Material : Fabric Feature : Eco-Friendly color : pink, coffee / as customers requirements printing : can use silk printing/heat sublimation material : nylon, can also use 600D,canvas and so on size : 21.5*29*13cm shoe organizer MOQ : 50 pcs , have stock , can retail sample leadtime : 3-4 days production leadtime : 30 days after sample and order approval packing : 1 pc/pvc bag ,100pcs/ctn meas/ctn : 55*38*38cm weight/ctn : 11kgs/10kgs",1
"6 Music based Movies
*Magic Mike
*The Commitments
*Quadrophenia
*Dirty Dancing
*Tenacious D
*School of Rock
Original discs
Great condition
Collection from Sandiacre NG10 or add 'Signed for' postage of £3.95
A large collection of DVDs online
can be seen at https://paulwm2012.wixsite.com/dvds",0
"Hi, im interested in your product 8 10 new wood planer and thicknesser 300mm with mortise and tenon machine for woodworking, I would like some more details. I look forward for your reply. regards, Avelino MimosoThis Message is from mobile",1
Collection of 80 American Square Dance records for sale (45s). Each record has one side vocal and the other side instrumental. Ideal for a school or club. Price is for the set of 80 records.,0
Type : Facial Massager Application : Face Color : as picture show Function : Slimming Material : Genuine mahogany Size : 14*4.5cm,1
"Boss oramge Gift Sets each £38

New

Lewes cash on collection only No posting

First to collect secures",0
"Box of used Lego Duplo including base plates, bricks, tractor, animals and some figures. Only selling as sadly outgrown. Suitable from around 2 years plus",0
Morphy Richards slow cooker 3.5L. Calls only 0779 223 26...(click to reveal full phone number),0
"Dear Mr/Mrs, I am a buyer from DAFRA located in Italy. I am interested in adding your model rattan sofa set Wicker sofa set to my inventory. could you please send me the quotation from this with the details as below : General Use, Material, specific Use, What are your payment terms for new customers? looking forward to hearing from you. thanks/RegardsDOMENICO ZAFFAGNINIDAFRA",1
dvds for sale all kinds,0
Ladies summery top the back opens obviously needs ironing as been stored away.item sold as seen. Size 18 from nutmeg. No offers. Pet free smoke free home collection bd10 or postage buyer to pay.,0
"Hotter Black Court shoes Size 7.5, Brand New Boxed, Bargain!!",0
"Product name : USB Charger for Juul Fit for : Juul Battery Compatible Models : computer, car charger, power bank, plug adapter etc. Feature : Dual charger, anti-lost Size : 1.8 x 0.75 x 0.27 Inches Type : Usb Magnet Charger Plug : Micro USB Packing : Jmate packing Payment : Paypal, West Union",1
"Hi,Im interested in your product Costa Rica fresh cavendish Bananas, I would like some more details.I look forward for your reply.Regards,",1
BRIC A BRAC FROM 20.00,0
"Occasional Chair Fully refurbished by The Creative Furniture Company Height- 46cm (floor to seat) Height - 101cm (Floor to top of chair) Depth- 54cm Width- 59cm delivery available - price will vary depending on location, if you would like a quote for delivery please message me with your location!",0
"Hi, I would like to know the price for new arrival 4pcs in 1 set autumn winter cheap cotton floral ins hot sale newborn baby girl clothes 0-3 months. I am interested in buying 100 Sets. Please provide us with a quotation. Thank you.",1
"Lawnmowers, strimmers, chainsaws, hedge cutters, generators, drills, grinders, power or hand tools etc etc etc. save time and that trip to the tip. call or text for a completely free collection 07517 2504...(click to reveal full phone number)",0
"1 have approximately 300 club/house flyers from both the UK & Holland. Lots of copies of some.

The photos show a VERY small examplr

I'm looking for 50p each, or a mutually agreed price for the whole lot

Collection only, no delivery",0
"2 decorative sets, each one comprises of China mug with matching small tray and coaster.
1 set in shades of cream purple and blue and
the other set in pale blue, pink and green.
One coaster (pink set) has signes of wear.

\u00A36
Must collect Steyning BN44 3LP",0
A great wooden maze roller toy keep your child entertained.,0
"This is a small powerful mini speaker from Lifetrons. 4.5 CM high, 5.5 cm when retracted for best sound. Comes with USB charger and leather holder.",0
Type : Custom made Warranty : 12 Months Size : Customized Size Material : Aluminum Packing : Carton Packing Chassis : Mitsubishi 3000GT VR4 or Dodge Stealth Motor : Stock Engine with Twin TD04 Turbo Stock IC Core Size : 7x8x2.5,1
"Brother knitting machine with table, books, and some extra bits,",0
"Type : Red Beans Style : Dried Cultivation Type : Common Color : Light Speckled, Red , brown, black , green Size : 4.0mm/4.5mm/4.8mm Imperfect Rate : Max.1-2% Admixture : 0.3%~0.5% Usage : Human Consumption Grade : Food Grade Appearance : Clean IMPURITY : 0.6% Quality Standard : Sortex Moisture : 16.5% Max",1
In working order,0
"Decorative, blue MUG HOLDER, heavy quality, 12"" x 4"" with five matching MUGS, Corning USA - white, pretty floral design, blue and pink flowers with leaves, same design each side of Mugs. Good condition, smoke and pet free home.",0
"Good condition
Never used",0
"Nearly new grey corner suit.
The sofa is so comfy it's like having a bed. Has loose scatter back cushions.
In excellent condition.
Bought for our static caravan when the last lockdown ended. We have now sold the caravan so have no room to keep it.
It cost £950 so someone is getting a real steal at 250. Smoke free .
Always had throws over it.
Splits into 2 pieces.",0
6 Sherry/Port Glasses. All glasses are in perfect condition. £5.00 for all 6 glasses. Seaford Tel: 07504 6305...(click to reveal full phone number),0
Duck egg blue leather Bohemia Satchel - brand new,0
"Hi Dear, We are an importing company based in Italy. We have seen yourand we are interested in your Muay Thai Kick Boxing MMA Ankle Supports. we kindly ask you to send us the informations about the product of the followings specifications : Material, color, Model Number, What types of packaging do you usually use for this product? we are waiting for your positive response. I want this product with my logo. Free Shipping in Italy. Color blackWith RegardsDanielefitnessarena",1
"All as new in perfectly working order and condition with all cases, instruction manuals and leaflets included and intact. Smoke and pet free home. CASH ON COLLECTION ONLY PLEASE (no posting).",0
ikea small white table and 2 chairs as new,0
"Hi, Im interested in your product New Solar Automatic Best Shop Coffee Bean Roaster, I would like some more details. I look forward for your reply. regards,",1
blue and white - glass - paper weight,0
send your ****number at kindly send quotations and data sheet for inkless pressure sensitive circular temperature chart recorder (6 inch ).,1
"Custom Sound speaker cabinets, Model CS212HT, 2 x EMINENCE 12ins. speakers in each one. 200 W per cab, 8 Ohms, VGC, with covers.Grey cab covering with red speaker mounting. 2 jack sockets on each. Top hats for stand mounting. PROEL Stands also available. Offers welcome.",0
"baseball jacket design ligthweight blue satin, black collar and cuffs Brighton and Hove blue.Ideal for a Brighton fan.circa1990",0
"3 mains leads, used for computers, kettles, amplifiers, etc. Excellent condition, could sell separately (50p each).",0
"2x Jilly, Murphy, Nuget, Scoodles, 2x fun homes, 2x bed and blanket, blockers, connector, 2x hairbrushes, 2x sleigh, hairband. REDUCED.",0
"2 large storage canninsters/storage pots- seal proof lids - pretty design in blue and white larges 7"" high x 6.5"" diameter - smaller 5.5"" high x 5.5"" diameter - excellent condition.",0
"Fiona Walker wall decoration.

Never opened so still in original packaging.

Collect from Haywards Heath area.",0
"Nerf gun with bullets barely used

Good condition",0
"Spellbinders Die sets New each set £7

Sizzix Die sets each £8

Todo Die £10

Lewes collection no posting at all

NO OFFERS OR HOLDING AT ALL

COLLECTION ASAP",0
2 sets of plastic drawers. Need cleaning. Take them both or only one !!,0
This waist coat is great for evening or day wear. It’s in good condition and is made of lace and has beads on it too. There are two little breast pockets on either side. It is very pretty when on. Reasonable offers accepted. FROM A COVID FREE HOME.,0
"SEA FISHING BOAT UPTIDING ROD, BROWNING GRAFTER, 2 PIECE, £20.00 BUYER COLLECTS.",0
"Dear Sir/Madam, Type : Tank Container Length (feet) : 20 Certification : ASME Standard, ISO Standard, IMDG, EN 13530 : 2002+A1 : 2004 Capacity : 21700 liters External Dimensions(l x W x H)(mm) : 6058*2438*2591mm Internal Dimensions(l x W x H)(mm) : 2260*2260*4575mm Product name : : Low pressure 0.8 Mpa iso tank container T75 20ft on sea Storage Medium : : oxygen, nitrogen, argon, lng Effective Volume : : 21700l Max. Working Pressure : : 8.0bar Leak test Pressure : : 7.2 bar Main Material : : SA-240M 304 Length : 6058mm Width : 2438mm Height : 2591mm Maximum permissible operating mass : 36000kg",1
kids cabin bed. FREE must go asap. selling due to moving. in good condition. mattress not included. can send more pictures if required.,0
IN VERY GOOD CONDITION - VTEC ACTIVITY CENTRE WITH MUSIC AND MANY ACTIVITIES.,0
"Dear Sir/Madam, This is joejeff from BE. Im looking for products with the following specifications : ****homesrent0996 ****g m a i l.com Payment Terms : T/T L.C PAYPAL Type : Banana Product Type : Tropical & Sub-Tropical Fruit Style : Fresh Variety : Cavendish Banana Cultivation Type : Common Color : Green Maturity : FRESH Certification : Phytosanitary Certificate Grade : Premium Grade",1
Barley worn basicly brand new,0
"New comes boxed
Message me- 078026463...(click to reveal full phone number)",0
Structure : Welded Chain Function : Drag Chain Material : Stainless Steel Standard or Nonstandard : Standard Material : Stainless Steel Product name : stainless steel chain Color : Silver Usage : Pulling Surface : Polishing Treated Size : Standard Size Type : Medium Packing : Iron Drum Certificate : ISO9001 Application : Handling Equipment Keyword : 316 stainless steel chain,1
wombles 1999 - 10 : McDonalds . Call 0779 223 26...(click to reveal full phone number),0
"Hi,Im interested in your product COSCO aluminium new design outdoor tent for wedding party pagoda house tent in Europe, I would like some more details : What is the best price you can offer?I look forward to your reply.Regards,Stacey ThompsonThis Message is from mobile",1
"Hi
I purchased this bike from overseas as this brand is not widely available in the UK. I've had several Ghost bikes and the German design, ergonomics and build quality are superb. On this occasion I messed up and purchased the wrong size (Size Large) and the bike is too big for me, it has never been ridden. I have attached the purchase receipt and import tax note this bike lands in the UK at a £1000, someone is going to get a good deal.
Specs here:
https://www.ghost-bikes.com/en/bikes/lanes-road/bike/square-cross-essential-u-2021
I can package this item into the original box and ship it if you're prepared to pay a courier or arrange collection.
Thanks!",0
"Hi,Im interested in your product Direct factory vaginal tightening gel restoring vag suppleness no irritation to the vagina skin, I would like some more details.I look forward for your reply.Regards,buchi obum",1
"Coal Scuttle Bucket, Copper & Brass, With Porcelain Handle., Vintage copper and brass coal scuttle bucket with porcelain handle for sale. Clean but not polished. I will leave that to you. It's not that difficult and Goddard do a really good copper polish which is available in most supermarkets. All the pictures are of the actual article for sale, but the bright shiny picture is in fact a polished one I found on eBay for £90 + £8 postage. I only offer you this as an example of what it could look like with a little elbow grease. Anyway, it's for sale, its in perfect condition and the ceramic handles are all perfect with no chips or cracks. Please call or email for details or directions. Item location: Cheddar, Somerset. Thank you for looking.",0
"Navy Dragonfly print, size 12. 95% cotton 5% elastane. Brand new and never worn. Cost £60 new. Bargain at £30 ono.",0
"Three wheeled push chair c/w rain covers, condition OK and very useful for walking in the woods, parks etc",0
Hardly used. complete with tubes & nozzles,0
"1 and1/3 roll of fibre glass insulation ,also 1/2 dozen rock wall batts 1000mm x 600",0
"Iomega 31715000 Super DVD Multi Reader / Writer
USB External Drive

Model DVDRW20X-U2K
with ASD DA-30C03 PSU

A super DVD writer and external drive

Super DVD Writer 20x4x40 External Drive DVD-RW USB

Buffer underrun protection: yes

Buffer size: 2 MB

Interface type: hi-speed USB

Rewrite speed: 24x (CD), 4x (DVD)

Write speed: 40x (CD), 20x (DVD)

Read speed: 40x (CD),- 8x (DVD)

External drive measures 7.5 inches wide x 9.8 inches deep x 2.0 inches high

USED
WORKING

I have NOT tried every type of media.

Required USB Lead Type A - Type B (Printer)

Net Weight 2Kg.

Can be sent by Courier.

UK preferred payment by Bank Transfer.",0
"Dear Sir/Madame, One of my clients needs 2.5 millions of jute bags, with the capacity of 80 kgs agricultural use. Delivery either directly to Africa or to Germany (in this case we will do the transport to Africa) depends on the price of the bags. I attach a photo from a bag my client used till now and write some information too : Transport at latest by January due to the start of the new season harvest. The bags are filled manually. standard jute color. printing should be done on both sides, one in English and the other in Portuguese. In case you have further questions or need more information, do not hesitate to contact me. Thank you for your answer in advance. Kind regards,",1
"Hello, hope you are fine. Can you give me a price quote on 116 square meters of sports tiles shipped to the United States? The tiles will be used for a basketball shooting area inside a building on a concrete floor. Attached is a diagram of the dimensions of the floor. I would like the colors in dark blue and yellow.",1
"Ideal wedding/engagement/house warming gift

Jamie Oliver White 2.4 Litre Covered Casserole Dish by Royal Worcester

Made from durable porcelain, the Jamie Oliver White 2.4 Litre Covered Casserole Dish is an essential item for any home cook. Both dishwasher and microwave safe, the simplistic casserole dish has a 2.4 litre capacity and features a lid.

Jamie Oliver White 2.4 Litre Covered Casserole Dish

Durable porcelain construction2.4 litre capacity

Dishwasher and microwave safe

Simplistic design

RRP £52",0
"Good quality Cream wardrobes. Two double and two mirrored singles, 221cm high that can be bolted together to give overall dimensions 272cm long or used as stand alone. All are 55cm deep. The double robes are 90cm wide, one has double hanging and the other has single hanging with top shelf. , Single robes are approx 45 cm wide with single hanging and top shelf.",0
"Hi  I am looking for Ballast for metal halide 400w,volt 220v,50hz for fitting of 400w",1
"4 new VALOR WICKS. fits valour 56 106 623r 104,
Good price for 4 wicks, pick up or can deliver Tamworth area, or post.
Phone after 12 noon, email anytime",0
Size 14,0
"To the kind attention of the export manager, We are a company from Russia. We are very interested in your air heater Torpedo Heater Outdoor Heater, 000 BTU. we kindly ask you to send us the informations about the product of the followings specifications : Power Source, power, Certification, What is the minimum order quantity? we are waiting for your reply. regards and thank youalexanderinvestroDear Sirs, Our company is making service of Air Forced heaters. We know production of Paseco. Now we need spare parts for diesel heaters P-2000ET, P-3000ET, P-5000ET, p-6000ET.We can send you an order for spare parts. if you can made a delivery of spare parts for heaters inform us, please.",1
"Howdy, Me interested your product single home Private label logo LED light activated with teeth whitening mouth guard, how could enviarme more information? I hope your response. natalie MuenteThis Message is from mobile",1
"SUSSEX PINE ONLINE - EASTBOURNE

PURCHASE DIRECT FROM OUR WEBSITE - https://www.sussexpineonline.co.uk/

Set of 6 solid beech farmhouse slat back chairs including two carvers, with some general everyday age and watermarks, sturdy set, all joints secure, sit nice and even.

Great as they are or could be painted

chairs - w 40 - d 40 - h 47 - back 83 cm
carvers - w50 - d 44 - h 46 - back 90 cm

LIKE OUR FACEBOOK PAGE TO KEEP UP TO DATE WITH ALL NEW ARRIVALS

FREE LOCAL DELIVERY OR COLLECTION FROM EASTBOURNE EAST SUSSEX, I CAN DELIVER FURTHER PLEASE MESSAGE FOR PRICE OR YOU ARE WELCOME TO ARRANGE YOUR OWN COURIER TO COLLECT

ANY QUESTIONS JUST ASK, PLEASE VIEW MY OTHER SIMILAR ITEMS AND WEBSITE - Sussex Pine Online, Eastbourne

THANKS
c1813",0
Max. Power : 150 - 300W Sensitivity : 91 - 100dB Voltage : DC 12V Size : 10 Impedance : 4 OHMS Warranty : 1 Years Function : Car Bus Truck Audio Type : Car Audio Subwoofer Magnet : 120Oz RMS : 300W Catalog : Woofer Car Voice coil : 3inch-4layers Copper Wire Voice Coil Color : Gray,1
"Jeff Banks pure linen jacket cream/beige

Label says 44R but fit is smaller

Hardly worn

Cash on collection from South Croydon",0
Vibro plate exercise weight loss machine various speeds and programs in excellent condition no longer needed bargain priced at £45 or nearest offer,0
"Brand new in box. Unwanted present from parents.
can post for \u00A33.85 (checked with royal mail)",0
"ONE 1300W ECONOMISER WALL HUNG CLAY FILLED ELECTRIC RADIATOR, IDEAL FOR CONSERVATORIES OR OUTBUILDINGS, ALSO CAN BE USED FOR HOUSEHOLD HEATING OR AS A BACK UP, INBUILT THERMOSTATIC PROGRAMMER, USED ONCE ONLY TO TEST, BOUGHT FOR ADDITIONAL HEAT FOR A EXTENSION NEVER USED CAN BE SEEN WORKING IF REQUIRED, £2250.00, BUYER COLLECTS.",0
Unit 1 back of 81 Dudley road Eastbourne East Sussex bn228he Google used tool shop Eastbourne for opening hours,0
"Sony ST-A30L Stereo FM/LW/MW Tuner. In good working order and pretty good condition.

Item location: Cheddar, Somerset. Please call or email for directions and to view. Thank you for looking.",0
"Very beautiful pair of bedside tables/cabinets, professionally refurbished and refreshed in a lovely Strong White by Farrow :and: Ball eggshell.

Made totally in wood they are strong and plenty of space.

The measurements are,

54 cm height
43 cm width
32 cm depth

If you have any questions please feel free to contact us at anytime.

Possible delivery until 10 Miles from Pevensey for an small fee. please contact us if you have any questions. 075939794...(click to reveal full phone number).",0
"Brass Headboard to fit 4' 6"" double bed with Mother of pearl floral decorations. Made from solid brass tubing, Excellent condition. £50",0
Wood model caravan.Size approx 18 inches high and 24 inches long.Horse missing.Sorry texts or voice message cannot be answered.Calls only thanks.,0
"LEGO DUPLO BRICKS - 270 Assorted Bricks

180 Single bricks (4's)

71 Double bricks (8's)

3 Triple bricks (12's)

8 Curved front single bricks

2 Yellow Slope bricks

1 Dial/guage printed brick

2 Wheat + Straw bricks

2 Duplo figures

1 Curved top brick

1 half depth brick

Careful non smoking + pet free home

Collect from Bewbush, Crawley",0
"Hello Supplier, Nice to meet you. We are looking for Oticon Prowax Minifit Wax Filters replacements for hearing filter aids. Thanks",1
Kitchen weighing scales - with accompanying silver bowl - Red,0
"Hello. We are looking for 100 grams Obscure oval plastic bottles with dropper tips like yours El-AB11 / ELUV11, Please give us a quote and if possible to mail us a sample to evaluate. Thanks Ricardo Jordon Glass Machinery 6320 NW 99 Ave. Doral, Fl. 33178 USA",1
"Dear Miss, , Please send me your best price quotation for beetroot fiber (meat products ingredent) FOB hamad sea port. Looking to hear from you soon. Best Regards",1
